distv_env,distv_num,Type
2.085054795,0.656914886,vOTUs
1.582695545,0.422212281,vOTUs
1.128975474,0.706897774,vOTUs
1.70165158,0.540985463,vOTUs
1.905487673,0.473689453,vOTUs
9.456914539,0.500106134,vOTUs
10.10782009,0.450041701,vOTUs
11.18842318,0.460501443,vOTUs
8.094435476,0.393980345,vOTUs
10.10809675,0.414585835,vOTUs
10.15452806,0.326222061,vOTUs
23.17431977,0.504246602,vOTUs
24.1899073,0.489396568,vOTUs
24.14728051,0.556871888,vOTUs
22.27369544,0.34774601,vOTUs
22.11912058,0.386688097,vOTUs
24.13442165,0.416013627,vOTUs
25.29570129,0.465417156,vOTUs
26.06070575,0.357236482,vOTUs
27.49232579,0.402674341,vOTUs
27.30410035,0.341462511,vOTUs
28.3868935,0.317739355,vOTUs
27.38265531,0.392151444,vOTUs
12.47274048,0.531961232,vOTUs
13.26082354,0.44986736,vOTUs
13.09278151,0.407383089,vOTUs
14.09927686,0.23613775,vOTUs
15.05798649,0.27274495,vOTUs
12.43056002,0.251916417,vOTUs
3.695133679,0.452857445,vOTUs
2.555583018,0.372870717,vOTUs
3.523592601,0.240779655,vOTUs
2.098682997,0.262046536,vOTUs
4.520046573,0.254797768,vOTUs
3.648955309,0.24017744,vOTUs
1.225089903,0.407341363,vOTUs
1.217075285,0.754678124,vOTUs
2.567192712,0.516863627,vOTUs
2.053200393,0.453758713,vOTUs
10.66568656,0.516160532,vOTUs
11.14078322,0.47189809,vOTUs
12.4863865,0.466345691,vOTUs
9.390131557,0.415328811,vOTUs
11.44156026,0.501169967,vOTUs
11.48947274,0.408382204,vOTUs
24.4723427,0.545626127,vOTUs
25.47995397,0.524875438,vOTUs
25.50020446,0.597297352,vOTUs
23.49882053,0.441763387,vOTUs
23.45425357,0.454430046,vOTUs
25.49272983,0.446005542,vOTUs
26.56118417,0.529309061,vOTUs
27.32325378,0.450982926,vOTUs
28.75392564,0.481543976,vOTUs
28.5600799,0.379155439,vOTUs
29.62728022,0.352018652,vOTUs
28.58841298,0.446840483,vOTUs
13.8045761,0.539012224,vOTUs
14.61545839,0.446585867,vOTUs
14.48598558,0.481410136,vOTUs
15.59151979,0.291649306,vOTUs
16.36687922,0.354285805,vOTUs
13.6754093,0.345924614,vOTUs
4.590083688,0.501288902,vOTUs
4.239376755,0.460616513,vOTUs
4.240989159,0.306783235,vOTUs
3.746710981,0.319821485,vOTUs
5.665526338,0.30841668,vOTUs
5.163278012,0.300971844,vOTUs
0.759959824,0.499660812,vOTUs
1.464443466,0.454813683,vOTUs
1.098460741,0.63009,vOTUs
10.80331879,0.34797996,vOTUs
11.30502951,0.328555509,vOTUs
12.53392391,0.48629739,vOTUs
9.418113346,0.614018807,vOTUs
11.45814169,0.397284854,vOTUs
11.54364419,0.305166225,vOTUs
24.49542374,0.322134175,vOTUs
25.51902976,0.364857824,vOTUs
25.50075469,0.415068219,vOTUs
23.58465556,0.311280674,vOTUs
23.46719392,0.32526764,vOTUs
25.49073802,0.352048434,vOTUs
26.60008318,0.353061633,vOTUs
27.3656016,0.338638842,vOTUs
28.82266714,0.389599448,vOTUs
28.6031089,0.26668627,vOTUs
29.68279166,0.248317855,vOTUs
28.66936008,0.277122104,vOTUs
13.81894325,0.40969844,vOTUs
14.6266475,0.417440464,vOTUs
14.44600098,0.434751821,vOTUs
15.45145508,0.26206828,vOTUs
16.37228503,0.28786767,vOTUs
13.76228495,0.252680023,vOTUs
4.649825045,0.38187114,vOTUs
3.92954829,0.492842863,vOTUs
4.289593387,0.217768864,vOTUs
3.521914086,0.245219136,vOTUs
5.652269574,0.239793229,vOTUs
5.013190035,0.226962836,vOTUs
1.698972017,0.60064758,vOTUs
1.544707482,0.559568314,vOTUs
10.34594174,0.534975236,vOTUs
10.88200226,0.494078996,vOTUs
12.13825073,0.543832901,vOTUs
9.04334408,0.485721071,vOTUs
11.07386345,0.519821174,vOTUs
11.12942029,0.404484143,vOTUs
24.14152632,0.53385898,vOTUs
25.15261294,0.536813036,vOTUs
25.13206063,0.613409821,vOTUs
23.21431213,0.435847972,vOTUs
23.10049237,0.462726297,vOTUs
25.12269425,0.47501498,vOTUs
26.24340227,0.525305531,vOTUs
27.03697605,0.459712896,vOTUs
28.43340143,0.507840138,vOTUs
28.25204495,0.395108073,vOTUs
29.32651862,0.367239995,vOTUs
28.31382788,0.439562412,vOTUs
13.40010754,0.579051742,vOTUs
14.2188,0.487662662,vOTUs
14.08317421,0.534425081,vOTUs
15.12441881,0.3033229,vOTUs
16.03189185,0.353195427,vOTUs
13.34059371,0.331516333,vOTUs
4.155178429,0.522369043,vOTUs
3.449792459,0.523643003,vOTUs
3.775015383,0.288103603,vOTUs
3.074736191,0.313679968,vOTUs
5.1488793,0.303040377,vOTUs
4.500413016,0.290846259,vOTUs
1.007406583,0.586483675,vOTUs
10.84551961,0.611166495,vOTUs
11.41417765,0.61081364,vOTUs
12.40935631,0.731684206,vOTUs
9.332234874,0.481636049,vOTUs
11.3233829,0.574890961,vOTUs
11.41700452,0.541738689,vOTUs
24.34138743,0.560135957,vOTUs
25.3493546,0.64107481,vOTUs
25.28502047,0.557191685,vOTUs
23.45890295,0.52964933,vOTUs
23.26020997,0.560743722,vOTUs
25.25873799,0.617001212,vOTUs
26.44201866,0.616863727,vOTUs
27.1591802,0.507333847,vOTUs
28.69999882,0.534832196,vOTUs
28.43604482,0.53002322,vOTUs
29.53921499,0.502890512,vOTUs
28.54972794,0.54814411,vOTUs
13.69718252,0.521680071,vOTUs
14.48392085,0.525636022,vOTUs
14.20919668,0.535873262,vOTUs
15.09699908,0.45694945,vOTUs
16.18416288,0.502314413,vOTUs
13.70722494,0.451428123,vOTUs
4.997683148,0.532879232,vOTUs
3.793857306,0.476933324,vOTUs
4.617764888,0.428660713,vOTUs
3.46938097,0.46864897,vOTUs
5.751636096,0.451771474,vOTUs
