	CXD_0801_FDSW210423161-1r	CXD_0802_FDSW210423162-1r	CXD_0803_FDSW210423163-1r	CXD_0804_FDSW210423164-1r	CXD_0805_FDSW210423165-1r	CXD_0807_FDSW210423167-1r	CXD_1001_FDSW210423173-1r	CXD_1003_FDSW210423175-1r	CXD_1004_FDSW210423176-1r	CXD_1007_FDSW210423179-1r	CXD_1009_FDSW210423181-1r	CXD_1015_FDSW210423187-1r	CXD_1201_FDSW210423188-1r	CXD_1202_FDSW210423189-1r	CXD_1203_FDSW210423190-1r	CXD_1213_FDSW210423200-1r	CXD_1214_FDSW210423201-1r	CXD_1215_FDSW210423202-1r	CXD_0204_FDSW210423206-1r	CXD_0209_FDSW210423211-1r	CXD_0210_FDSW210423212-1r	CXD_0213_FDSW210423215-1r	CXD_0214_FDSW210423216-1r	CXD_0215_FDSW210423217-1r	CXD_1401_FDSW210423218-1r	CXD_1402_FDSW210423219-1r	CXD_1408_FDSW210423225-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1415_FDSW210423232-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r
QD_2104_contig_15978577||full	65.73390099	48.96640058	15.59513794	45.88953913	42.07174027	12.86471531	24.00278298	12.95549125	7.819929686	1.056606594	0.403408792	0.264565396	29.58429292	13.93517679	38.22284895	0	4.740137829	5.796037161	16.50668473	0.951626339	2.371500576	1.433869803	0	13.44884167	34.89767228	43.04249582	6.560994331	0	0	0	65.23303319	1.723255151	0	0	0	0
QD_2104_contig_16045740||full	30.32360851	31.0793075	30.65879618	35.22160076	10.675066	38.35938407	12.83545895	9.007995152	15.94665204	42.4207254	11.14230809	4.661409737	8.15895638	11.000652	22.16594601	6.18705392	6.65774544	8.500579521	20.27109201	52.71562299	36.15623831	8.174373366	4.320266847	5.652629499	13.9958282	6.769117153	66.82881601	6.056628086	6.970700167	7.565935146	1.230225388	60.84854159	0.53674881	5.168468085	2.414835509	0
QD_2104_contig_16117251||full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.08797554	35.02954176	2.54167981	0	0	0	1.606581543	0	0	0	0	0
QD_2104_contig_16173562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.412194874	0	0	0	0	8.741052257	181.2770945	0	0	4.926348327	3.784860895	77.42445743	45.26398138	74.39863289	201.4382356	15.87641514	13.82825518	25.34819352	85.40506487	6.144825534
QD_2104_contig_16287812||full	39.00399156	23.62964116	8.583351245	39.3575267	10.01881786	10.59961088	10.6772954	3.589887708	4.696985606	3.673451478	1.133766442	0.833622944	12.89204366	10.81443873	11.35046805	0.526046676	1.899443942	1.308926204	9.417294345	0.395516755	1.966873989	0.459666464	0.053781565	0.530769213	26.47451653	31.1793105	10.55053774	0.364074354	0	0	50.15298234	7.339987526	0.004836677	0.137561916	0	0
QD_2104_contig_165190||0_partial	14.21853218	19.14162661	79.87205352	31.76498652	32.1469377	22.29207884	14.4257834	9.230251288	30.54228654	36.96246971	19.24528378	5.410312481	10.59049032	13.3064454	24.30382889	7.234453311	7.615100355	6.139439654	14.75867603	21.55238374	13.62554672	3.407423111	4.820059375	5.685987786	26.87982896	40.66819921	35.86917906	2.309384197	2.220691981	1.120027457	33.16245661	36.43021511	0.307098076	1.077390316	0.844952822	0.2420776
QD_2104_contig_16525483	36.00915104	77.17767353	22.13401599	92.98942702	30.72063551	37.22908782	13.43928831	17.41877317	29.87407161	31.81499057	40.45623181	13.10760377	27.63393887	25.29309919	19.95950213	22.18146222	35.2306825	30.43846362	22.1762228	32.50740483	54.60050748	10.44569025	7.897060206	13.67068272	14.43760924	12.83699756	57.70257975	5.08093455	5.999917631	3.352094477	18.54156964	119.1161351	2.010634061	9.298933828	8.08012978	4.058903133
QD_2104_contig_16549272||full	21.407551	24.02161346	5.339079204	8.479788238	0	6.85887047	0.389671164	0.559976506	0.112710467	4.224318462	3.922032836	0	1.58367589	4.852495184	80.22241916	1.093816246	3.169390328	0	0.924528555	0.709894157	2.527586198	0.028790427	0	0.52548056	44.25101245	1.421270656	3.852588056	0	0	0	0.444831141	3.936574136	0	0	0	0
QD_2104_contig_16558829	0	0	0	1.582511428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.74351529	0	0	0	0	0	59.15975979	75.70570427	0	0	0	0	0	0	0	0	0	0
QD_2104_contig_16719877	0	0	0	0	0	0.33510377	0.689124012	0.227243261	0.019569961	0	0	0	1.181945725	0.458186376	22.45639904	0	0	0	1.706995307	0	0	0	0	0	48.51606893	0.405207692	0	0	0.100754085	0	0.50523919	0	0	0	0	0
QD_2104_contig_16883733	3.014631583	0.792774003	0	1.607026806	0	0	0	0.556848086	0	0	0	0	0.84651679	2.173536339	38.42719845	1.621662316	0	0	0.891806642	0	0	0	0	0	89.82720366	0.18513306	0.595187886	0	0	0	1.753441569	0	0	0	0	0
QD_2104_contig_17138797	0	0	0	0	0.258735565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.97974974	138.3164722	0	0	0	0	1.925026811	0	0	0	0	0
QD_2104_contig_17199313	42.03005532	8.27449151	8.480149556	18.86500841	43.35426516	15.83080588	52.03396362	132.5729207	43.46654239	37.97463254	38.92149763	16.53451547	158.886095	103.9219245	78.00182118	29.60390385	39.80774802	65.60928282	67.00619258	17.34528663	33.85822598	33.33854586	32.9550137	82.22714527	12.19747359	28.7990473	12.21285092	7.158989278	17.23847015	8.915870008	31.48649282	9.678304106	5.407648785	6.748650435	5.727598705	5.798885411
QD_2104_contig_17211963	0.746925212	0.482979092	0.028997304	3.434066673	0	0	0.823304691	2.400483293	0.355706571	0.449213774	3.152928505	14.04609397	1.750909975	1.028447625	0.450168154	15.88169939	9.690696377	1.449336768	4.777410396	4.698761643	7.55236392	3.41638849	2.848270844	7.603483573	0.042798408	0.207222751	2.098439484	3.336043969	5.207628071	14.01862292	1.372474791	4.076687106	0	0	0	0.005717484
QD_2104_contig_17635508_1	3.655798061	9.039204382	3.492668511	4.543556016	2.621928399	3.859846135	3.333219742	2.639712285	2.993658208	7.057869291	6.262606611	8.939511911	5.502777393	4.785416714	5.143910019	9.559539885	8.319055504	4.386809406	4.088216787	5.642145673	5.84762331	4.366380129	4.002491337	5.501278139	3.277333877	3.429997705	4.250514745	6.771964538	9.827972953	11.63445047	4.788308584	5.614340034	6.197211579	4.80954676	5.127458732	5.483431649
QD_2104_contig_17677481	3.866617272	1.628986235	0	0.448324882	0	0	0	1.055493516	0	0	0	0	0.830016303	1.35146097	36.94492346	1.566706109	0	0	0.42915589	0	0.071160256	0	0	0	85.46457517	0.396729651	1.385655468	0	0	0	2.094258094	0	0	0	0	0
QD_2104_contig_17866944	0.631180412	5.002636478	0.622531599	3.314006614	0.200597875	1.305835203	2.981169827	3.574578342	3.049175781	1.570409238	3.3787948	10.35669328	3.726366355	2.776981482	3.86776977	16.05149939	12.82706916	5.345079538	1.258400715	3.731764004	2.763273026	1.733459229	1.44048327	4.121171857	2.730009118	1.451067309	2.95417836	3.727744689	8.3353863	8.493530123	6.54865724	0.542234772	1.893220164	1.178636666	0.595004938	2.563733928
QD_2104_contig_18094496	0.385702251	0	0	0	0	0	0	0.121185377	0	0	0	0	0	0	14.95570607	0	0	0	0	0	0	0	0	0	45.90152714	0.215092247	0.880369213	0	0	0	1.772323323	0	0	0	0	0
QD_2104_contig_18302410	0	0	1.326584516	0.555445685	4.652447503	4.920867041	7.253431593	18.14187493	5.047483977	4.188745204	13.27423069	9.799716183	4.021287709	3.502703521	3.825651124	9.722213475	9.50277937	13.13123423	3.40288245	11.21468838	6.610143628	10.14635944	7.702795992	9.963224892	3.484132083	4.825538562	1.870846089	22.91194665	12.79045745	2.468961691	1.506261802	2.538071809	4.608237637	7.124874547	9.716191132	21.26059531
QD_2104_contig_18316520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.223952152	43.71949564	0	0	0.668098276	3.313563401	27.30220001	13.99020497	17.49171337	46.15260457	5.254283978	1.698046585	8.443385966	21.53718559	0.003846512
QD_2104_contig_18339348||0_partial	15.00221429	25.76180492	8.540753929	43.77306269	17.48004736	28.59019709	24.37422278	22.78289184	35.19282578	22.45703093	31.5483833	18.25211855	39.71316318	32.8132446	15.17936107	22.89914779	23.05491	22.09803799	36.08824662	25.5300574	23.90015496	11.57305616	9.623850754	14.04225563	17.06434705	23.95820161	24.47302228	13.32968607	16.994417	16.3072928	46.57806338	41.29949894	7.873061535	11.3899215	9.933283809	5.631341803
